"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-17",,,"79",",,0","52",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-18",,,"74",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-19",,,"76",",,0","65",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-20",,,"80",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-21",,,"84",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-22",,,"74",",,0","53",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-23",,,"70",",,0","65",",I,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-24",,,"60",",I,0","54",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-25",,,"81",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-26",,,"85",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-27",,,"73",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-28",,,"78",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-29",,,"71",",,0","56",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-30",,,"76",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-01",,,"80",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-02",,,"76",",,0","60",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-03",,,"74",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-04",,,"85",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-05",,,"80",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-07-06",,,"71",",,0","58",",,0"
